"OBJECTID","quadrat","tag","StemTag","sp","lx","ly","hom","dbh_2023","status_2023","codes_2023","notes_2023","living_status_2023","fad_2023","wound_2023","rot_2023","canker_2023","comment_mortality_2023","x","y","status_2024","living_status_2024","crown_position_2024","crown_intact","crown_living","fad_choices","fad_2024","liana_load","wound_2024","rot_2024","canker_2024","lean_angle","lean_direction","dead_with_resprout","crown_check","dbh_dead_2024","dead_dbh_check","comment_mortality_2024","mort_census_status","personnel_list","GlobalID","EditDate","Editor","date_measured","dbh_verified"
3553,1919,192242,1,"litu",10.3,20,1.3,178,"LI","","","A","",NA,NA,NA,"",-78.14341878,38.89401466,"LI","A",2,95,95,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","ES","finished","Other","0dbf6fb6-08d8-4eb7-971e-d67637390e3b","9/25/2024 6:31:26 PM","shuej21","9/25/2024 6:31:15 PM",""
3554,1919,192243,1,"amar",13.6,17.5,1.3,131,"LI","","","AU","W,HS",2,NA,NA,"",-78.14338099,38.89399191,"LI","AU",2,90,85,"R","W,R",NA,2,2,NA,23,292,NA,NA,NA,"","ES","finished","Other","6e97b8de-b29d-4cce-b99a-dca9a4197da4","9/25/2024 6:37:56 PM","shuej21","9/25/2024 6:35:06 PM",""
3555,1919,192244,1,"qual",18.1,16.8,1.3,478,"LI","","","AU","K",NA,NA,1,"",-78.1433292,38.89398527,"LI","AU",3,95,85,"K","K",NA,NA,NA,1,NA,NA,NA,NA,NA,"","ES","finished","Other","1abce4cf-28cf-4aaf-9828-957da7377683","9/25/2024 6:33:44 PM","shuej21","9/25/2024 6:33:27 PM",""
3556,1920,192246,1,"cagl",3.5,1,1.3,397,"LI","","","A","",NA,NA,NA,"",-78.14349703,38.89402416,"LI","A",4,100,100,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","ES","finished","Other","2a8b7ca4-3582-4292-a9e8-0ff745538216","9/25/2024 6:26:30 PM","shuej21","9/25/2024 6:26:03 PM",""
3557,1920,192247,1,"qual",8.1,0.7,1.2,689,"LI","","","A","",NA,NA,NA,"",-78.14344406,38.89402112,"LI","A",3,90,90,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","ES","finished","Other","79dbcb0b-fcda-4a4d-9a8f-cff625eb1151","9/25/2024 6:25:46 PM","shuej21","9/25/2024 6:25:07 PM",""
3558,1920,192249,1,"pist",3.1,5.5,1.3,246,"LI","","","A","",NA,NA,NA,"",-78.14350122,38.89406471,"LI","A",2,95,50,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","ES","finished","Other","44d52391-e76b-4533-ae7c-907be0c7b092","9/25/2024 6:24:06 PM","shuej21","9/25/2024 6:24:01 PM",""
3559,1920,192250,1,"qual",3.3,6.5,1.3,352,"LI","","","A","",NA,NA,NA,"",-78.14349882,38.8940737,"LI","A",3,100,100,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","ES","finished","Other","0860f6bc-2bb4-4907-8d56-49316fa138b1","9/25/2024 6:22:33 PM","shuej21","9/25/2024 6:22:23 PM",""
3560,1920,192253,1,"litu",1.4,11.3,1.3,216,"LI","","","A","",NA,NA,NA,"",-78.14352027,38.89411706,"LI","A",2,100,95,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","ES","finished","Other","a38d58d0-7ef4-42a1-871b-165e88603bf3","9/25/2024 6:20:27 PM","shuej21","9/25/2024 6:20:15 PM",""
3561,1920,192254,1,"qupr",5.2,13,1.3,368,"LI","","","A","",NA,NA,NA,"",-78.14347632,38.89413209,"LI","A",4,100,100,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","ES","finished","Other","9b338958-ab28-4928-8e67-d74ea200f449","9/25/2024 6:19:21 PM","shuej21","9/25/2024 6:19:10 PM",""
3562,1921,192258,1,"litu",0.7,1.8,1.3,427,"LI","RT","","A","",NA,NA,NA,"",-78.14352735,38.89421166,"LI","A",3,95,95,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","ES","finished","Other","e2787e1b-9090-4376-b093-b42902d7271b","9/25/2024 6:14:56 PM","shuej21","9/25/2024 6:14:46 PM",""
3563,1921,192263,1,"qupr",2.1,9.1,1.3,376,"LI","","","A","",NA,NA,NA,"",-78.14351054,38.89427729,"LI","A",3,95,95,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","ES","finished","Other","b5c3ea73-01c0-4804-8f53-a269d45ada07","9/25/2024 6:13:20 PM","shuej21","9/25/2024 6:13:01 PM",""
3564,1921,192276,1,"quru",7.5,11.7,1.3,551,"LI","","","A","",NA,NA,NA,"",-78.14344807,38.8943003,"LI","A",3,80,75,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","ES","finished","Other","13d0c7b1-c0fa-45ba-9f47-27ad4c6f44fa","9/25/2024 6:00:35 PM","shuej21","9/25/2024 6:00:07 PM",""
3565,1921,192283,1,"caovl",2.3,19.9,1.3,271,"LI","","","A","",NA,NA,NA,"",-78.14350722,38.89437452,"LI","A",3,95,95,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","ES","finished","Other","4c5b8300-b9d9-4994-894d-7a96d1befb0d","9/25/2024 4:01:59 PM","shuej21","9/25/2024 4:01:13 PM",""
3566,1922,192293,1,"nysy",7.4,1.4,1.3,120,"LI","","","A","",NA,NA,NA,"",-78.14344832,38.89438765,"LI","A",2,85,65,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","ES","finished","Other","5a10ca5b-ffff-4517-ae47-0dce02d9760a","9/25/2024 4:03:35 PM","shuej21","9/25/2024 4:03:14 PM",""
3567,1922,192299,1,"caovl",1.9,7.3,1.3,380,"LI","","","A","",NA,NA,NA,"",-78.14351114,38.89444118,"LI","A",2,90,80,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","ES","finished","Other","7fa9677e-9500-4613-8cbf-20a456beba63","9/25/2024 3:58:51 PM","shuej21","9/25/2024 3:58:08 PM",""
3568,1924,192318,1,"fram",1.4,0.3,1.3,183,"LI","","","A","",NA,NA,NA,"",-78.14351381,38.89473836,"LI","A",3,85,60,"","",4,NA,NA,NA,NA,NA,NA,NA,NA,"","ES","finished","Other","8cd80277-f381-485b-b652-fa077ac65dae","9/25/2024 3:14:21 PM","shuej21","9/25/2024 3:14:04 PM",""
3569,1924,192319,1,"caco",2.6,5.6,1.3,206,"LI","","","A","",NA,NA,NA,"",-78.14349949,38.894786,"LI","A",3,95,75,"","",3,NA,NA,NA,NA,NA,NA,NA,NA,"","ES","finished","Other","4a224909-4903-4a4c-9190-a160c9ba6e1a","9/25/2024 3:08:41 PM","shuej21","9/25/2024 3:08:11 PM",""
3570,1924,192321,1,"astr",0.3,9,1.3,102,"LI","","","","",NA,NA,NA,"",-78.14352567,38.89481678,"LI","A",3,100,100,"","",4,NA,NA,NA,NA,NA,NA,NA,NA,"","ES","finished","Other","e41dbb8c-3dae-4eab-9696-a182b9d752bd","9/25/2024 3:20:19 PM","shuej21","9/25/2024 3:20:11 PM",""
3571,1924,192350,1,"fram",7.9,2,1.3,133,"LI","SV","","AU","U",NA,NA,NA,"",-78.14343876,38.8947532,"LI","AU",1,100,20,"DF","DF",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","ES","finished","Other","54a5a9ae-b578-48c3-89a8-23d0f05a872c","9/25/2024 3:05:21 PM","shuej21","9/25/2024 3:05:14 PM",""
3572,1925,192372,1,"quru",8.4,12.1,1.3,251,"LI","RT","","A","",NA,NA,NA,"",-78.14343018,38.89502419,"LI","A",3,100,90,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","ES","finished","Other","54d368f5-9ef4-46b3-8910-c74c4757062b","9/25/2024 2:33:59 PM","shuej21","9/25/2024 2:33:04 PM",""
3573,1925,192374,1,"caco",1.9,9.1,1.3,224,"LI","RT","","A","",NA,NA,NA,"",-78.14350536,38.89499765,"LI","A",2,90,75,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","ES","finished","Other","6f940a93-4424-4e89-8238-683998637b94","9/25/2024 2:35:42 PM","shuej21","9/25/2024 2:35:22 PM",""
3574,1925,192375,1,"litu",6.4,12.2,1.3,690,"LI","","","A","",NA,NA,NA,"Thinning",-78.14345322,38.89502524,"LI","A",4,90,80,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","ES","finished","Other","e897641d-75d6-43fb-b35b-c07def8c1f59","9/25/2024 2:32:44 PM","shuej21","9/25/2024 2:32:03 PM",""
3575,1925,192377,1,"ulru",8.6,14.4,1.3,104,"LI","","","A","",NA,NA,NA,"",-78.14342766,38.89504489,"LI","AU",1,70,65,"LF","LF",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","ES","finished","Other","049c1652-ffa2-4dd3-88e6-905d5c79889e","9/25/2024 2:31:42 PM","shuej21","9/25/2024 2:31:02 PM",""
3576,1925,192389,1,"litu",6.2,17.4,1.3,562,"LI","","","A","",NA,NA,NA,"",-78.14345503,38.89507208,"LI","A",3,95,95,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","ES","finished","Other","70c6a60c-e7c4-4f48-a4b1-06c407a39deb","9/25/2024 2:29:38 PM","shuej21","9/25/2024 2:29:19 PM",""
3577,1925,192390,1,"quru",5.5,16.5,1.3,183,"LI","","","A","",NA,NA,NA,"",-78.14346318,38.89506402,"LI","A",1,85,75,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","ES","finished","Other","6665f459-5c04-4ac0-b487-6b64515e0088","9/25/2024 2:27:57 PM","shuej21","9/25/2024 2:27:25 PM",""
3578,1925,192392,1,"litu",5,18.7,1.3,319,"LI","","","AU","LF",NA,NA,NA,"",-78.14346874,38.89508387,"LI","A",3,90,85,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","ES","finished","Other","3c243b2b-3c65-4197-a540-5a9dc9ff10a2","9/25/2024 2:28:12 PM","shuej21","9/25/2024 2:26:04 PM",""
3579,1925,192396,1,"ulru",13,19.1,1.3,102,"LI","","","","",NA,NA,NA,"",-78.1433772,38.89509406,"LI","A",1,85,70,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","ES","finished","Other","da2c0b03-5ac4-4213-8e96-9f92fda21b43","9/25/2024 2:23:56 PM","shuej21","9/25/2024 2:23:01 PM",""
3580,1925,192414,1,"ulru",19.9,4.9,1.3,169,"LI","DV","","AU","DF",NA,NA,NA,"",-78.14329835,38.89495852,"LI","AU",3,100,65,"DF","DF",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","finished","RH","46fe468d-6fa7-427a-a6e1-2cbee4434639","9/25/2024 2:54:19 PM","shuej21","9/25/2024 2:54:16 PM",""
3581,1925,192437,1,"litu",17,11.5,1.3,463,"LI","","","A","",NA,NA,NA,"",-78.14333115,38.89501816,"LI","A",3,100,95,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","ES","finished","Other","ba3f384b-5ec0-42dd-8ca5-04b165bd57ab","9/25/2024 2:40:19 PM","shuej21","9/25/2024 2:40:09 PM",""
3582,1925,192449,1,"litu",17.7,14.2,1.3,200,"LI","","","A","",NA,NA,NA,"",-78.14332283,38.89504242,"LI","A",2,100,100,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","ES","finished","Other","1c1fd324-f4b1-49e6-a817-3dd324e3c0d4","9/25/2024 2:38:11 PM","shuej21","9/25/2024 2:38:01 PM",""
3583,1926,192466,1,"quru",13.3,1.7,1.3,869,"LI","","","A","",NA,NA,NA,"",-78.14337282,38.89511028,"LI","A",3,100,95,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","ES","finished","Other","0e508efa-47fb-487d-adc7-0dd52eb16dff","10/2/2024 3:06:29 PM","shuej21","10/2/2024 3:06:16 PM",""
3584,1926,192484,1,"quru",17.4,11.2,1.3,457,"LI","","","A","",NA,NA,NA,"",-78.14332469,38.89519552,"LI","A",2,100,100,"","",1,NA,NA,NA,NA,NA,NA,NA,NA,"","ES","finished","Other","3b250dce-237a-4350-abab-4983e255332e","10/2/2024 3:05:00 PM","shuej21","10/2/2024 3:04:09 PM",""
3585,1927,192515,1,"cagl",17,6.4,1.3,201,"LI","","","AU","CR",NA,NA,NA,"",-78.14332788,38.89533241,"LI","A",3,95,95,"","",1,NA,NA,NA,NA,NA,NA,NA,NA,"","ES","finished","Other","b7e9145e-54fc-40db-a454-3e55ec56128c","10/2/2024 2:54:26 PM","shuej21","10/2/2024 2:54:17 PM",""
3586,1927,192520,1,"fram",15.8,17.1,1.3,224,"LI","","","AU","I",NA,NA,NA,"",-78.14334071,38.89542885,"LI","AU",3,75,75,"DF","I,DF",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","ES","finished","Other","582d6ddd-333f-4e72-99c7-afe14b9961ce","10/2/2024 2:26:26 PM","shuej21","10/2/2024 2:26:19 PM",""
3587,1928,192522,1,"quve",14.6,1.3,1.3,564,"LI","","","AU","LF",NA,NA,NA,"",-78.14335414,38.89546676,"DC","",NA,NA,NA,"UP","UP",NA,NA,NA,NA,NA,NA,0,NA,560,"","ES","finished","Other","2306afec-cc1f-4053-b902-c327c7154e64","10/2/2024 2:24:17 PM","shuej21","10/2/2024 2:24:01 PM",""
3588,1928,192524,1,"litu",15.4,4.5,1.3,306,"LI","","","A","",NA,NA,NA,"",-78.14334462,38.89549551,"LI","A",3,80,60,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","ES","finished","Other","b430db6b-cbcb-4924-87f7-85b087a2a35f","10/2/2024 2:12:34 PM","shuej21","10/2/2024 2:12:02 PM",""
3589,1928,192525,1,"litu",12.5,3.2,1.3,564,"LI","RT","","A","",NA,NA,NA,"",-78.14337816,38.89548402,"LI","A",3,100,100,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","ES","finished","Other","dffadabe-4f1b-4e63-984d-097f041c28cb","10/2/2024 2:15:04 PM","shuej21","10/2/2024 2:15:01 PM",""
3590,1928,192526,1,"fagr",11.6,1,1.3,252,"LI","","","A","",NA,NA,NA,"",-78.14338873,38.89546427,"LI","A",3,100,100,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","ES","finished","Other","f244b933-6850-4219-8464-8296b1b3f618","10/2/2024 2:16:29 PM","shuej21","10/2/2024 2:16:00 PM",""
3591,1928,192527,1,"litu",11.9,5,1.3,529,"LI","","","A","",NA,NA,NA,"",-78.1433849,38.89550027,"LI","A",3,95,95,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","ES","finished","Other","79c86306-1ffc-4512-8b45-d0bc7ad6970a","10/2/2024 2:14:01 PM","shuej21","10/2/2024 2:14:00 PM",""
3592,1928,192528,1,"litu",12.4,9.7,1.3,605,"LI","","","A","",NA,NA,NA,"",-78.1433787,38.89554255,"LI","A",4,95,95,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","ES","finished","Other","41cee728-2485-495b-9aa6-f6e2953c6d58","9/26/2024 7:34:44 PM","shuej21","9/26/2024 7:34:17 PM",""
3593,1928,192532,1,"fagr",19.2,18.1,1.3,224,"LI","","","A","",NA,NA,NA,"",-78.14329957,38.89561769,"LI","A",3,100,100,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","ES","finished","Other","36f5c40c-7cdf-4123-9fa6-3c8295a75cb6","9/26/2024 7:23:49 PM","shuej21","9/26/2024 7:23:27 PM",""
3594,1928,192533,1,"litu",18.4,17.2,1.3,429,"LI","","","A","",NA,NA,NA,"",-78.14330887,38.89560965,"LI","A",3,100,100,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","ES","finished","Other","ee09e7a1-12e5-421e-aa27-820b7a58e8e4","9/26/2024 7:26:36 PM","shuej21","9/26/2024 7:26:02 PM",""
3595,1928,192534,1,"litu",13.3,17.4,1.3,583,"LI","","","AU","K",NA,NA,1,"",-78.14336761,38.89561182,"LI","A",4,100,100,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","ES","finished","Other","933d758f-1104-4f6e-b496-46337c42854e","9/26/2024 7:27:12 PM","shuej21","9/26/2024 7:27:02 PM",""
3596,1928,192537,1,"quru",12.1,16.6,1.3,123,"LI","","","A","",NA,NA,NA,"",-78.14338152,38.89560471,"LI","A",2,95,90,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","ES","finished","Other","852c5057-d2a8-457a-b93b-c77046aa2ffa","9/26/2024 7:27:55 PM","shuej21","9/26/2024 7:27:17 PM",""
3597,1929,192542,1,"litu",18.9,3.8,1.3,335,"LI","","Epicormic sprouts","A","",NA,NA,NA,"",-78.14330249,38.89566904,"LI","A",3,100,95,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","ES","finished","Other","a3ce1886-9559-4c58-a20e-b1a267b5c1db","9/26/2024 7:21:01 PM","shuej21","9/26/2024 7:20:25 PM",""
3598,1929,192543,1,"litu",14.9,4.4,1.3,459,"LI","","","A","",NA,NA,NA,"",-78.14334852,38.89567474,"LI","A",4,100,100,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","ES","finished","Other","a5aefc7c-c567-4867-9feb-3af8514f972b","9/26/2024 7:23:13 PM","shuej21","9/26/2024 7:23:04 PM",""
3599,1929,192546,1,"litu",17.4,7.3,1.3,555,"LI","","","A","",NA,NA,NA,"",-78.14331944,38.89570067,"LI","A",3,100,100,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","ES","finished","Other","8552b0da-2100-44f7-9abb-66f3b5e94aa0","9/26/2024 7:19:44 PM","shuej21","9/26/2024 7:19:19 PM",""
3600,1929,192548,1,"litu",15.3,11.3,1.3,494,"LI","","","A","",NA,NA,NA,"",-78.14334327,38.89573684,"LI","A",3,90,90,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","ES","finished","Other","906c241e-5d8c-44e3-8aad-80eb2c2e7d00","9/26/2024 7:19:06 PM","shuej21","9/26/2024 7:18:03 PM",""
3601,1929,192549,1,"litu",16.2,12,1.3,329,"LI","","","A","",NA,NA,NA,"",-78.14333283,38.89574307,"LI","A",3,100,100,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","ES","finished","Other","0ed2bb41-4017-4953-b3f2-3ad37ec8a3d3","9/26/2024 7:15:12 PM","shuej21","9/26/2024 7:14:22 PM",""
3602,1929,192551,1,"litu",16.5,16.3,1.3,782,"LI","","","A","",NA,NA,NA,"",-78.14332897,38.89578177,"LI","A",4,100,95,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","ES","finished","Other","3509c234-8760-485e-82a7-eec10ff0048e","9/26/2024 7:12:55 PM","shuej21","9/26/2024 7:12:06 PM",""
3603,1929,192553,1,"ulru",7.2,15.9,1.3,192,"LI","","","AU","B,DF",NA,NA,NA,"",-78.14343617,38.89577885,"LI","AU",3,70,70,"B","B",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Break 80% up; ES","finished","Other","be0cabb8-124d-420e-a702-ddc6e9731666","9/26/2024 7:14:04 PM","shuej21","9/26/2024 7:14:01 PM",""
3604,1930,192554,1,"quru",13.7,9,1.3,171,"LI","","","A","",NA,NA,NA,"",-78.14336005,38.89589633,"LI","A",3,90,90,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","ES","finished","Other","58717ea8-4bdb-4dad-a522-bc24b44b2712","9/26/2024 7:07:50 PM","shuej21","9/26/2024 7:07:14 PM",""
3605,1930,192555,1,"litu",16.5,12.4,1.3,342,"LI","","","A","",NA,NA,NA,"",-78.14332747,38.89592674,"LI","A",2,100,90,"","",1,NA,NA,NA,NA,NA,NA,NA,NA,"","ES","finished","Other","737b99df-4f9b-434e-9630-b2f75f644c59","9/26/2024 7:09:44 PM","shuej21","9/26/2024 7:09:00 PM",""
3606,1930,192557,1,"cagl",10.5,14.9,1.3,320,"LI","","","A","",NA,NA,NA,"",-78.14339637,38.89594969,"LI","A",3,95,95,"","",2,NA,NA,NA,NA,NA,NA,NA,NA,"","ES","finished","Other","634c6dbe-6c3c-4b0b-89a7-70fd54d3f6ee","9/26/2024 7:07:01 PM","shuej21","9/26/2024 7:06:21 PM",""
3607,1930,192559,1,"qual",8,10.2,1.3,513,"LI","","","A","",NA,NA,NA,"",-78.14342561,38.89590755,"LI","A",4,100,100,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","ES","finished","Other","68896ff6-a1c7-408a-a7c4-5654026b7619","9/26/2024 7:06:09 PM","shuej21","9/26/2024 7:06:05 PM",""
3608,1930,192560,1,"qual",12.9,19.5,1.3,970,"LI","","","A","",NA,NA,NA,"",-78.14336828,38.89599094,"LI","A",4,95,95,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","ES","finished","Other","bea7e99e-6467-472c-8626-d9d7d48b1d2e","9/26/2024 7:08:47 PM","shuej21","9/26/2024 7:08:14 PM",""
3609,1931,192569,1,"ulru",16.7,12,1.3,174,"LI","","","AU","CR",NA,NA,NA,"",-78.14332333,38.89610321,"LI","A",3,80,60,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","ES","finished","Other","40760b7e-3b57-4024-ac8d-88efc46b8241","9/26/2024 6:47:00 PM","shuej21","9/26/2024 6:45:01 PM",""
3610,1931,192577,1,"ceca",3.2,16.9,1.3,123,"LI","","","AU","HS,B,W",2,NA,NA,"",-78.14347842,38.89614832,"LI","AU",3,60,50,"B","R,W,B",NA,2,2,NA,NA,NA,NA,NA,NA,"","Breaks 60% up; ES","finished","Other","28715166-78bb-4236-8c2a-9acc2f0e82ec","9/26/2024 6:50:07 PM","shuej21","9/26/2024 6:50:01 PM",""
3611,1932,192591,1,"ceca",13.6,10.2,1.3,191,"LI","I,RT","","AU","K,B",NA,NA,3,"",-78.14335734,38.89626732,"LI","AU",3,80,65,"K","K",NA,NA,NA,3,NA,NA,NA,NA,NA,"","","finished","RH","c897a0aa-9e11-4ca0-9cec-f3f24071090b","9/17/2024 3:59:35 PM","shuej21","9/17/2024 3:59:21 PM",""
3612,1932,192595,1,"litu",13.9,15.9,1.3,320,"LI","I,DV,RT","","AU","B",NA,NA,NA,"Secondary stem 40% intact, 40% living",-78.14335335,38.89631862,"LI","AU",2,10,10,"B","B",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Tree broken 15 percent of the way up","finished","RH","9c881621-a5b7-46c2-a697-125356958673","9/17/2024 4:08:11 PM","shuej21","9/17/2024 4:08:00 PM",""
3613,1932,192596,1,"litu",13.4,19.6,1.3,208,"LI","","","A","",NA,NA,NA,"",-78.14335877,38.89635198,"LI","A",2,100,100,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","finished","RH","8fbfb61a-7cba-43fa-befe-9870cabb1f78","9/17/2024 3:52:52 PM","shuej21","9/17/2024 3:52:35 PM",""
3614,1932,192597,1,"litu",12.2,16.7,1.3,667,"LI","","","A","",NA,NA,NA,"",-78.14337287,38.89632595,"LI","A",5,100,100,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","We were told that the canopy completely exposed condition would not occur at this plot, but if there was ever one that met the criteria it would be this one","finished","RH","3f6ffdc6-7500-43cf-a55a-a23f7d48778c","9/17/2024 3:52:14 PM","shuej21","9/17/2024 3:52:11 PM",""
3615,1926,192615,1,"caca",2.8,6.8,1.3,117,"LI","","","AU","W",3,NA,NA,"",-78.14349333,38.89515697,"LI","AU",2,100,85,"W","W",NA,1,NA,NA,NA,NA,NA,NA,NA,"","ES","finished","Other","4d654411-4da9-4c79-9cc9-7d4ecf41efd2","10/2/2024 3:10:39 PM","shuej21","10/2/2024 3:10:17 PM",""
3616,1926,192616,1,"caovl",1.4,4.9,1.3,233,"LI","","","A","",NA,NA,NA,"",-78.14350964,38.89513996,"LI","A",3,95,95,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","ES","finished","Other","1984c413-eca5-4915-9523-995094f3b1ea","10/2/2024 3:08:28 PM","shuej21","10/2/2024 3:08:11 PM",""
3617,1926,192619,1,"quru",12.6,8.5,1.3,845,"LI","","","AU","W,R,F",1,1,NA,"",-78.14338025,38.89517156,"LI","AU",3,100,80,"F","R,W,F",NA,1,1,NA,NA,NA,NA,NA,NA,"","ES","finished","Other","3aeb02da-9965-4597-af75-72066164ec7a","10/2/2024 3:02:15 PM","shuej21","10/2/2024 3:02:05 PM",""
3618,1926,192623,1,"litu",6.1,19.8,1.3,797,"LI","","","A","",NA,NA,NA,"",-78.14345409,38.89527378,"LI","A",3,85,85,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","ES","finished","Other","523d1bcb-3d9d-4000-bb6f-7b9b1f6e0968","10/2/2024 2:45:31 PM","shuej21","10/2/2024 2:45:10 PM",""
3619,1926,192625,1,"cagl",14.1,15.6,1.3,218,"LI","","","A","",NA,NA,NA,"",-78.14336231,38.89523538,"LI","A",2,95,90,"","",1,NA,NA,NA,NA,NA,NA,NA,NA,"","ES","finished","Other","cf4f6105-a301-4ea5-b55e-9557bc01cfaa","10/2/2024 2:57:56 PM","shuej21","10/2/2024 2:57:20 PM",""
3620,1927,192635,1,"caovl",1.3,0.1,1.3,244,"LI","DV","","A","",NA,NA,NA,"",-78.14350937,38.89527683,"LI","A",2,95,95,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","ES","finished","Other","4a1f9920-588d-49e2-b790-3408f37d43fa","10/2/2024 2:44:15 PM","shuej21","10/2/2024 2:44:05 PM",""
3621,1927,192638,1,"litu",11.8,3.3,1.3,191,"LI","","","A","",NA,NA,NA,"",-78.14338809,38.89530488,"LI","A",2,65,55,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","ES","finished","Other","c9e7c11f-747c-4635-b0bd-989f168d8613","10/2/2024 2:48:28 PM","shuej21","10/2/2024 2:48:02 PM",""
3622,1927,192640,1,"litu",10.9,5.5,1.3,509,"LI","","","A","",NA,NA,NA,"",-78.14339825,38.89532476,"LI","A",3,85,85,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","ES","finished","Other","23063b2e-4116-4c3e-bd0f-8908f94dcb18","10/2/2024 2:50:16 PM","shuej21","10/2/2024 2:50:06 PM",""
3623,1927,192643,1,"cagl",0.4,8,1.3,218,"LI","","","A","",NA,NA,NA,"",-78.143519,38.89534804,"LI","A",2,95,95,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","ES","finished","Other","199720d5-962c-435c-9631-0be795627bd8","10/2/2024 2:42:51 PM","shuej21","10/2/2024 2:42:12 PM",""
3624,1927,192646,1,"litu",8.6,13.1,1.3,218,"LI","","","A","",NA,NA,NA,"",-78.14342404,38.89539336,"LI","A",3,90,90,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","ES","finished","Other","a244019e-5e97-4cb6-9167-6bc8d1ff8c32","10/2/2024 2:29:21 PM","shuej21","10/2/2024 2:29:12 PM",""
3625,1927,192647,1,"ulru",10.2,10.8,1.3,123,"LI","DV","","","",NA,NA,NA,"",-78.14340582,38.89537253,"LI","AU",3,60,25,"B","DF,CR,B",1,NA,NA,NA,61,188,NA,NA,NA,"","Broken 80% up; ES","finished","Other","719df296-0224-4054-a1cd-71df491f9e63","10/2/2024 3:46:24 PM","shuej21","10/2/2024 2:39:26 PM",""
3626,1927,192648,1,"litu",6.6,12.4,1.3,276,"LI","","","A","",NA,NA,NA,"",-78.14344715,38.8953872,"LI","A",3,100,100,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","ES","finished","Other","6c49bd46-6164-437a-a648-6d46dabb6bfc","10/2/2024 2:41:10 PM","shuej21","10/2/2024 2:41:02 PM",""
